Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
GEC8223,MD11/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",EDDF,Frankfurt Int'l,Frankfurt am Main,7/11/13 10:20,7/11/13 10:20,n/a
TCF3535,E170/Q ,KEWR,Newark Liberty Intl,"Newark, NJ",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:21,7/11/13 13:31,3:10
EGF3111,E145/Q ,KCVG,N Kentucky Intl,"Covington, KY",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:25,7/11/13 12:20,1:55
EGF2734,E135/Q ,KABI,Abilene Rgnl,"Abilene, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:27,7/11/13 11:02,0:35
AAL437,MD83/Q ,KPHL,Philadelphia Intl,"Philadelphia, PA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:30,7/11/13 13:22,2:52
NKS214,A319/Q ,KLAS,McCarran Intl,"Las Vegas, NV",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:31,7/11/13 12:55,2:24
EGF3395,E135/Q ,KCHS,Charleston Afb/Intl,"Charleston, SC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:34,7/11/13 12:54,2:20
EGF2859,E145/Q ,KSGF,Springfield Arpt,"Springfield, MO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:36,7/11/13 11:34,0:58
AAL675,B752/Q ,KMIA,Miami Intl,"Miami, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:36,7/11/13 13:01,2:25
EGF2820,E145/Q ,KGRK,Robert Gray Aaf,"Fort Hood/Killeen, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:40,7/11/13 11:09,0:29
AAL51,B77W ,EGLL,London Heathrow,"London, England",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:43,7/11/13 19:57,9:14
AWE1910,A321/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCLT,Charlotte/Douglas Intl,"Charlotte, NC",7/11/13 10:45,7/11/13 12:50,2:05
AAL453,B738/Q ,CYYZ,Toronto Pearson Int'l,"Toronto, Ontario",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:46,7/11/13 13:20,2:34
AAL1997,MD80/Q ,KRDU,Raleigh-Durham Intl,"Raleigh/Durham, NC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:47,7/11/13 13:07,2:20
UPS768,MD11/Q ,KSDF,Louisville Intl,"Louisville, KY",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:48,7/11/13 12:24,1:36
EGF2867,E135/Q ,KLEX,Blue Grass,"Lexington, KY",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:50,7/11/13 12:39,1:49
AAL2320,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KORD,Chicago O'Hare Intl,"Chicago, IL",7/11/13 10:51,7/11/13 12:43,1:52
EGF2738,E145/Q ,KGSP,Greenville/Spartanburg Intl,"Greer, SC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:51,7/11/13 12:56,2:05
EGF2947,E145/Q ,KSAV,Savannah/Hilton Head Intl,"Savannah, GA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:52,7/11/13 13:08,2:16
EGF2725,E145/Q ,KMHK,Manhattan Rgnl,"Manhattan, KS",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:54,7/11/13 11:57,1:03
AAL969,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMIA,Miami Intl,"Miami, FL",7/11/13 10:54,7/11/13 13:21,2:27
AAL1433,MD80/Q ,KSAT,San Antonio Intl,"San Antonio, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:55,7/11/13 11:38,0:43
ASQ2511,CRJ2/Q ,KTXK,Texarkana Rgnl-Webb Field,"Texarkana, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:56,7/11/13 11:33,0:37
AAL2103,MD80/Q ,KMCO,Orlando Intl,"Orlando, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:58,7/11/13 13:09,2:11
EGF2999,E145/Q ,KGRR,Gerald R. Ford Intl,"Grand Rapids, MI",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 10:58,7/11/13 13:02,2:04
AAL583,MD80/Q ,KAUS,Austin-Bergstrom Intl,"Austin, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:01,7/11/13 11:40,0:39
EGF2881,E145/Q ,KFSM,Fort Smith Rgnl,"Fort Smith, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:02,7/11/13 11:42,0:40
AAL2277,MD80/Q ,KCMH,Port Columbus Intl,"Columbus, OH",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:02,7/11/13 13:04,2:02
SKW5570,CRJ7/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KORD,Chicago O'Hare Intl,"Chicago, IL",7/11/13 11:03,7/11/13 12:58,1:55
EGF3328,E145/Q ,KACT,Waco Rgnl,"Waco, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:03,7/11/13 11:28,0:25
EGF3288,E145/Q ,KSPS,Sheppard Afb ,"Wichita Falls, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:03,7/11/13 11:24,0:21
AAL595,B738/Q ,KBWI,Baltimore/Washington Intl,"Baltimore, MD",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:04,7/11/13 13:48,2:44
EGF3218,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KHOU,William P Hobby,"Houston, TX",7/11/13 11:04,7/11/13 11:45,0:41
AAL821,MD83/Q ,KJAX,Jacksonville Intl,"Jacksonville, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:05,7/11/13 13:04,1:59
AAL2301,MD80/Q ,KORD,Chicago O'Hare Intl,"Chicago, IL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:06,7/11/13 12:51,1:45
EGF3253,E145/Q ,KFWA,Fort Wayne Intl,"Fort Wayne, IN",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:06,7/11/13 13:04,1:58
AAL1555,MD80/Q ,KCLE,Cleveland-Hopkins Intl,"Cleveland, OH",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:06,7/11/13 13:18,2:12
EGF2775,E145/Q ,KGSO,Piedmont Triad Intl,"Greensboro, NC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:07,7/11/13 13:28,2:21
AAL711,B738/Q ,KLGA,LaGuardia,"New York, NY",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:07,7/11/13 14:05,2:58
DAL1890,MD88/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KATL,Hartsfield-Jackson Intl,"Atlanta, GA",7/11/13 11:08,7/11/13 12:55,1:47
EGF2750,E135/Q ,KJAN,Jackson-Evers Intl,"Jackson, MS",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:08,7/11/13 12:13,1:05
EGF3362,E145/Q ,KLAW,Lawton-Fort Sill Rgnl,"Lawton, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:09,7/11/13 11:36,0:27
AAL1039,MD80/Q ,KMCI,Kansas City Intl,"Kansas City, MO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:09,7/11/13 12:14,1:05
EGF3221,E145/Q ,KXNA,Northwest Arkansas Rgnl,"Fayetteville/Springdale/, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:09,7/11/13 11:55,0:46
AAL423,MD80/Q ,KDAY,James M Cox Dayton Intl,"Dayton, OH",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:10,7/11/13 13:03,1:53
EGF3103,E145/Q ,KAEX,Alexandria Intl,"Alexandria, LA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:10,7/11/13 11:59,0:49
ASQ2500,CRJ2/Q ,KAMA,Amarillo Intl,"Amarillo, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:10,7/11/13 11:59,0:49
EGF2946,E135/Q ,KLCH,Lake Charles Rgnl,"Lake Charles, LA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:10,7/11/13 12:02,0:52
AAL831,MD80/Q ,KRIC,Richmond Intl,"Richmond, VA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:11,7/11/13 13:42,2:31
AAL1896,MD80/Q ,KTUL,Tulsa Intl,"Tulsa, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:11,7/11/13 11:50,0:39
AAL2083,MD80/Q ,KEWR,Newark Liberty Intl,"Newark, NJ",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:12,7/11/13 14:16,3:04
EGF3242,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KBTR,Baton Rouge Metro,"Baton Rouge, LA",7/11/13 11:12,7/11/13 12:09,0:57
AAL1525,B738/Q ,KBDL,Bradley Intl,"Windsor Locks, CT",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:13,7/11/13 14:30,3:17
AAL1315,MD80/Q ,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:14,7/11/13 12:54,1:40
MRA666,C208/A ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KABI,Abilene Rgnl,"Abilene, TX",7/11/13 11:14,7/11/13 12:12,0:58
AAL700,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLGA,LaGuardia,"New York, NY",7/11/13 11:15,7/11/13 14:17,3:02
AAL37,B772/Q ,LEMD,Barajas Int'l,Madrid,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:15,7/11/13 11:15,n/a
AAL2209,MD80/Q ,KOMA,Eppley Airfield,"Omaha, NE",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:16,7/11/13 12:33,1:17
AAL891,MD80/Q ,KCLT,Charlotte/Douglas Intl,"Charlotte, NC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:17,7/11/13 13:24,2:07
EGF3448,E145/Q ,KSJT,San Angelo Rgnl,"San Angelo, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:18,7/11/13 12:00,0:42
AAL1411,MD80/Q ,KLIT,Bill And Hillary Clinton National/Adams Field,"Little Rock, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:19,7/11/13 12:03,0:44
AAL1066,MD80 ,MMMX,Lic. Benito Juarez Int'l,Mexico City,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:20,7/11/13 13:44,2:24
AAL37,B772/Q ,LEMD,Barajas Int'l,Madrid,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:20,7/11/13 21:37,10:17
ASQ5189,CRJ2/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMEM,Memphis Intl,"Memphis, TN",7/11/13 11:20,7/11/13 12:30,1:10
AAL1243,B738/Q ,KIAD,Washington Dulles Intl,"Washington, DC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:21,7/11/13 13:57,2:36
EGF3343,E135/Q ,KHOU,William P Hobby,"Houston, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:22,7/11/13 12:06,0:44
AAL579,MD80/Q ,KIND,Indianapolis Intl,"Indianapolis, IN",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:24,7/11/13 13:11,1:47
NKS972,A319/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KFLL,Hollywood Int'l,"Fort Lauderdale, FL",7/11/13 11:25,7/11/13 13:52,2:27
UAL1043,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSFO,San Francisco Intl,"San Francisco, CA",7/11/13 11:25,7/11/13 14:38,3:13
SKW6529,CRJ7/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLAX,Los Angeles Intl,"Los Angeles, CA",7/11/13 11:27,7/11/13 14:04,2:37
AAL175,B738/Q ,KDCA,Reagan National,"Washington, DC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:27,7/11/13 14:04,2:37
AAL1695,MD83/Q ,KSTL,Lambert-St Louis Intl,"St Louis, MO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:27,7/11/13 12:41,1:14
AAL1730,MD80/Q ,KBNA,Nashville Intl,"Nashville, TN",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:28,7/11/13 12:52,1:24
EGF3206,E135/Q ,KGCK,Garden City Rgnl,"Garden City, KS",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:28,7/11/13 12:27,0:59
AAL2070,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDCA,Reagan National,"Washington, DC",7/11/13 11:29,7/11/13 13:57,2:28
AMX1985,B737/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",MMUN,Cancun Int'l,"Cancun, Quintana Roo",7/11/13 11:29,7/11/13 13:45,2:16
EGF3377,E145/Q ,KMOB,Mobile Rgnl,"Mobile, AL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:30,7/11/13 12:47,1:17
AAL482,MD80/Q ,KMFE,Mc Allen Miller Intl,"Mc Allen, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:30,7/11/13 12:42,1:12
BAW193,B744 ,EGLL,London Heathrow,"London, England",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:31,7/11/13 20:41,9:10
EGF3219,E145/Q ,KJLN,Joplin Rgnl,"Joplin, MO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:31,7/11/13 12:24,0:53
EGF2830,E145/Q ,KPNS,Pensacola Gulf Coast Rgnl,"Pensacola, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:31,7/11/13 12:58,1:27
AAL2082,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KBOS,Boston Logan Intl,"Boston, MA",7/11/13 11:32,7/11/13 14:40,3:08
AAL1712,B752/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMCO,Orlando Intl,"Orlando, FL",7/11/13 11:33,7/11/13 13:48,2:15
EGF2935,E145/Q ,KMSN,Dane Co Rgnl,"Madison, WI",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:33,7/11/13 13:40,2:07
AAL1500,MD80 ,MMMY,General Mariano Escobedo Int'l,"Monterrey, Nuevo Leon",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:33,7/11/13 12:49,1:16
EGF3302,E145/Q ,KMLI,Quad City Intl,"Moline, IL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:33,7/11/13 13:07,1:34
AWE79,A320/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",7/11/13 11:34,7/11/13 13:26,1:52
AAL1347,MD80/Q ,KPIT,Pittsburgh Intl,"Pittsburgh, PA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:34,7/11/13 13:53,2:19
EGF3292,E145/Q ,MMTC,Torreon Int'l,"Torreon, Coahuila",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:34,7/11/13 13:13,1:39
EGF3107,E145/Q ,KVPS,Eglin Afb,"Valparaiso, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:35,7/11/13 13:15,1:40
SLI2689,E190/L ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",MMMX,Lic. Benito Juarez Int'l,Mexico City,7/11/13 11:35,7/11/13 13:23,1:48
ASQ2573,CRJ2/Q ,KBTR,Baton Rouge Metro,"Baton Rouge, LA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:35,7/11/13 12:31,0:56
SKV7484,E170/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",CYYZ,Toronto Pearson Int'l,"Toronto, Ontario",7/11/13 11:36,7/11/13 14:00,2:24
FFT633,A319/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDEN,Denver Intl,"Denver, CO",7/11/13 11:36,7/11/13 13:11,1:35
EGF3423,E135/Q ,KTYR,Tyler Pounds Rgnl,"Tyler, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:36,7/11/13 12:03,0:27
SCX743,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",MDPC,Punta Cana Int'l,Punta Cana,7/11/13 11:36,7/11/13 15:39,4:03
UAL1219,B737/Q ,KORD,Chicago O'Hare Intl,"Chicago, IL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:36,7/11/13 13:24,1:48
AAL454,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KBWI,Baltimore/Washington Intl,"Baltimore, MD",7/11/13 11:38,7/11/13 14:24,2:46
EGF3431,E145/Q ,KCOU,Columbia Rgnl,"Columbia, MO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:38,7/11/13 12:47,1:09
AWE552,A319/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KPHL,Philadelphia Intl,"Philadelphia, PA",7/11/13 11:39,7/11/13 14:24,2:45
EGF2965,E145/Q ,KSGF,Springfield Arpt,"Springfield, MO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:41,7/11/13 12:37,0:56
AAL2017,MD80/Q ,KMKE,General Mitchell Intl,"Milwaukee, WI",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:41,7/11/13 13:34,1:53
AAL1702,MD80/Q ,KOKC,Will Rogers World,"Oklahoma City, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:43,7/11/13 12:13,0:30
EGF2736,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KJAN,Jackson-Evers Intl,"Jackson, MS",7/11/13 11:43,7/11/13 12:43,1:00
EJA821,H25B/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDAL,Dallas Love Field,"Dallas, TX",7/11/13 11:43,7/11/13 11:56,0:13
MRA658,C208/A ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KPSN,Palestine Muni,"Palestine, TX",7/11/13 11:44,7/11/13 12:20,0:36
AAL2324,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KORD,Chicago O'Hare Intl,"Chicago, IL",7/11/13 11:45,7/11/13 13:32,1:47
AWE1267,A319/Q ,KPHL,Philadelphia Intl,"Philadelphia, PA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:45,7/11/13 14:42,2:57
AAL1820,MD83/Q ,KAUS,Austin-Bergstrom Intl,"Austin, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:45,7/11/13 12:24,0:39
AAL493,B738/Q ,KFLL,Hollywood Int'l,"Fort Lauderdale, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:46,7/11/13 14:12,2:26
EGF3245,E145/Q ,KMLU,Monroe Rgnl,"Monroe, LA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:46,7/11/13 12:37,0:51
AAL1099,MD83/Q ,KORF,Norfolk Intl,"Norfolk, VA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:46,7/11/13 14:22,2:36
ASQ2568,CRJ2/Q ,KBPT,Jack Brooks Rgnl,"Beaumont/Port Arthur, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:46,7/11/13 12:32,0:46
DAL1482,MD88/Q ,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:48,7/11/13 13:27,1:39
NKS940,A320/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KORD,Chicago O'Hare Intl,"Chicago, IL",7/11/13 11:50,7/11/13 13:44,1:54
UPS2781,A306/Q ,KIAH,Houston Bush Int'ctl,"Houston, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:51,7/11/13 12:29,0:38
AAL751,MD80/Q ,KHSV,Huntsville Intl,"Huntsville, AL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:51,7/11/13 13:15,1:24
AAL1476,MD83/Q ,KICT,Wichita Mid-Continent,"Wichita, KS",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:52,7/11/13 12:46,0:54
AAL1649,B738/Q ,KBOS,Boston Logan Intl,"Boston, MA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:52,7/11/13 15:22,3:30
NKS867,A319/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLAX,Los Angeles Intl,"Los Angeles, CA",7/11/13 11:52,7/11/13 14:27,2:35
EGF3333,E135 ,MMSP,Ponciano Arriaga Int'l,"San Luis Potosi, San Luis Potosi",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:52,7/11/13 13:41,1:49
EGF2922,E145/Q ,KCLL,Easterwood Field,"College Station, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:52,7/11/13 12:23,0:31
FDX472,DC10/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMEM,Memphis Intl,"Memphis, TN",7/11/13 11:53,7/11/13 12:58,1:05
AAL659,MD80/Q ,KBHM,Birmingham-Shuttlesworth Intl,"Birmingham, AL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:54,7/11/13 13:29,1:35
AAL2272,MD80/Q ,KSAT,San Antonio Intl,"San Antonio, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:54,7/11/13 12:38,0:44
EGF2943,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCVG,N Kentucky Intl,"Covington, KY",7/11/13 11:54,7/11/13 13:45,1:51
EJA881,H25B/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KTEB,Teterboro,"Teterboro, NJ",7/11/13 11:55,7/11/13 14:48,2:53
AAL1241,MD80/Q ,KDTW,Detroit Metro Wayne Co,"Detroit, MI",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:55,7/11/13 14:11,2:16
EGF2817,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMAF,Midland Intl,"Midland, TX",7/11/13 11:56,7/11/13 12:42,0:46
AWE686,A320/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCLT,Charlotte/Douglas Intl,"Charlotte, NC",7/11/13 11:56,7/11/13 14:04,2:08
EGF3369,E145/Q ,KPIA,General Downing - Peoria Intl,"Peoria, IL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:56,7/11/13 13:26,1:30
EGF2914,E135/Q ,KGRI,Central Nebraska Rgnl,"Grand Island, NE",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:57,7/11/13 13:18,1:21
CAO1066,B744/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KJFK,John F Kennedy Intl,"New York, NY",7/11/13 11:58,7/11/13 15:01,3:03
CCA1066,B744 ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KJFK,John F Kennedy Intl,"New York, NY",7/11/13 11:58,7/11/13 14:57,2:59
UPS2019,A306/Q ,KBOS,Boston Logan Intl,"Boston, MA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:59,7/11/13 15:26,3:27
AAL1273,MD80/Q ,KMSY,New Orleans Intl,"New Orleans, LA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:59,7/11/13 13:07,1:08
EGF3009,E145/Q ,KCMI,Univ of IL - Willard,"Champaign/Urbana, IL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:59,7/11/13 13:32,1:33
FLG3363,CRJ9/Q ,KDTW,Detroit Metro Wayne Co,"Detroit, MI",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:59,7/11/13 14:14,2:15
ASQ2512,CRJ2/Q ,KBRO,Brownsville Intl,"Brownsville, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:59,7/11/13 13:15,1:16
AAL499,B738/Q ,KPBI,Palm Beach Intl,"West Palm Beach, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 11:59,7/11/13 14:30,2:31
AWE1219,A321/Q ,KCLT,Charlotte/Douglas Intl,"Charlotte, NC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 12:00,7/11/13 14:02,2:02
